,sentimento,txt
0,positivo,"Enfim o final da série chegou e me deixou arrebatada e emocionada. Um final cheio de amor e lembranças, perfeito para uma série tão emocionante e intensa. Mauricio era o último dos Lafaietes solteiro, mas Eleonora arrebatou seu coração, ainda que não estivesse nos seus planos. Ele desde sempre soube o que queria e correu atrás para realizar os seus sonhos. Eleonora não foi uma mocinha fácil e dócil. Maumau ao contrário, decidido, intenso e apaixonado. Uma história cativante, que vai te envolvendo. O amor não tem idade e não vê traumas e preconceitos, ele vai arrebatando e tudo supera, e foi exatamente isso que a autora foi nos revelando aos poucos. Uma história de superação, perdão e aceitação. Um final repleto de figuras queridas e cheio de lágrimas e emoção. Estou definitivamente de ressaca literária, os Lafaietes sempre terão um pedacinho do meu coração. Super recomendo. 
"
1,positivo,"Aiai! Agora ficamos órfãos dos Lafaiete 😔 A história de amor entre Maurício e Eleonora nos leva ao final da série dos Lafaiete... Se não fosse por Maumau, Eleonora não ganharia minha simpatia, mas a autora, como sempre, conseguiu nos envolver nessa história de amor de um jeito só dela, que, aos poucos, Eleonora foi me ganhando. As consequências de um passado, às vezes, trazem mazelas difíceis de serem superadas, mas com a presença do verdadeiro amor, felizmente superamos e vencemos essa barreira. Maurício insistiu no amor por Eleonora e, ao final, foi plenamente premiado com a felicidade e com o fofissimo Bernardo (sim, eu imagino como é esse mini Lafaiete 😍) Parabéns Lara, você lacrou com o final da série! Leitura recomendada! ⭐⭐⭐⭐⭐ 
"
2,positivo,"Lara smithe fechou a série com chave de ouro,que amor mais lindo contagiante ,foi perfeito ficou um gosto de quero mais parabéns você merece 
"
3,positivo,"Mais uma vez a Lara Smithe nos deixa de boca aberta, sem saber o que dizer, a história é maravilhosa e nos mostra que para o amor não existe idade, basta deixar o coração aberto e o preconceito de lado. A história de Eleonor e Maurício é linda. Amei o Afonso ele é perfeito como pai chefe de família e como homem queria eu ter um homem como ele. Que pena que acabou a série Os Lafaetes. 
"
4,positivo,"Ótima ideia: aglutinar os livros dos quatro irmãos Lafaiete e nos oferecer a saga completa. Personagens apaixonantes e apaixonados, fortes, determinados. Uma leitura que prende. Um mergulho em um mar de aventuras. Bem escrito. Bem dosado. Parabéns à autora! 
"
5,positivo,"Como sempre Lara Smithe nos cativa com Maurício e  Eleonor e mostra que para o amor não existe idade, nós que dificultamos e muito as nossas vidas. 
"
6,positivo,"Maurício o cara romântico lindo que corre atrás do que quer custi o custa até conseguir seu amor de volta e filho,a o amor.
"
7,positivo,"Não sei como explicar o quanto esse livro é maravilhoso. Não sei mais ficar sem essa família linda. Não tem como despedir desses personagens que nos faz sorrir, chorar e se apaixonar cada vez mais.  Jussara a cada história você se supera. Uma escrita impecável com enredos envolvente. Não tem elogios suficientes para demonstrar o quanto é maravilhosa as suas história. Mas pra quem é uma #sadeleitora vai entender bem o quanto é maravilhoso ser ""Vida Louca'. Parabéns e o seu sucesso é mais que merecido. Agradecemos imensamente por você compartilhar conosco suas precisas histórias. Estou mega feliz em poder adquiri-las em minha biblioteca. Espero poder ter todas e não me despedir de nenhum personagem desta família. Bjs e mais uma vez obrigada. 
"
8,positivo,"Que história maravilhosa! Que personagens hilários! Que enredo fantástico! Como sempre os livros da Valentina atendem as minhas espectativas, e olha que elas são bem altas! Adoooooorei a Mari, que mulher terrível! Obstinada, inteligente, madura, com a autoestima elevada! O Arthur é o homem dos sonhos de qualquer mulher existente na face da terra! O verdadeiro sonho molhado! Se você gosta de um livro hot, mas com conteúdo e com uma pitada de mistério, esse é perfeito! Cinco estrelas é pouco, valeu muito a espera para poder devorar! Parabéns Ju! 
"
9,positivo,"Aah o que dizer desse livro 😍😍 sou completamente apaixonada por esse casal que me ganhou logo no primeiro capítulo e eternamente será lembrado, não consigo me desapegar.. Lendo pela 4° vez é só digo que cada vez que releio eu me apaixono mais um pouco. Amor, carinho, humor e muita loucura te espera em Sem medida ♥ 
"
